Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
24299,0.0,1.0,23789,0.0,50945.77038330375,0.5394216258904712
24300,0.0,1.0,23790,0.0,50912.072863121284,0.5394216258904712
24301,0.0,1.0,23791,0.0,50912.072863121284,0.5394216258904712
24302,0.0,1.0,23792,0.0,50957.68459561771,0.5394216258904712
24303,0.0,1.0,23793,0.0,50957.68459561771,0.5394216258904712
24304,0.0,1.0,23794,0.0,50957.68459561771,0.5394216258904712
24305,0.0,1.0,23795,0.0,50957.68459561771,0.5394216258904712
24306,0.0,1.0,23796,0.0,51032.77227700426,0.5394216258904712
24307,0.0,1.0,23797,0.0,51032.77227700426,0.5394216258904712
24308,0.0,1.0,23798,0.0,51032.77227700426,0.5394216258904712
24309,0.0,1.0,23799,0.0,51032.77227700426,0.5394216258904712
24310,0.0,1.0,23800,0.0,51032.77227700426,0.5394216258904712
24311,0.0,1.0,23801,0.0,51032.77227700426,0.5394216258904712
24312,0.0,1.0,23802,0.0,51032.77227700426,0.5394216258904712
24313,0.0,1.0,23803,0.0,51032.77227700426,0.5394216258904712
24314,0.0,1.0,23804,0.0,51032.77227700426,0.5394216258904712
24315,0.0,1.0,23805,0.0,51032.77227700426,0.5394216258904712
24316,0.0,1.0,23806,0.0,51007.36779909387,0.5394216258904712
24317,0.0,1.0,23807,0.0,51007.36779909387,0.5394216258904712
24318,0.0,1.0,23808,0.0,51007.36779909387,0.5394216258904712
24319,0.0,1.0,23809,0.0,51007.36779909387,0.5394216258904712
24320,0.0,1.0,23810,0.0,51007.36779909387,0.5394216258904712
24321,0.0,1.0,23811,0.0,51007.36779909387,0.5394216258904712
24322,0.0,1.0,23812,0.0,51007.36779909387,0.5394216258904712
24323,0.0,1.0,23813,0.0,51002.2643884649,0.5394216258904712
24324,0.0,1.0,23814,0.0,51002.2643884649,0.5394216258904712
24325,0.0,1.0,23815,0.0,51002.2643884649,0.5394216258904712
24326,0.0,1.0,23816,0.0,51002.2643884649,0.5394216258904712
24327,0.0,1.0,23817,0.0,50935.2445988815,0.5394216258904712
24328,0.0,1.0,23818,0.0,50935.2445988815,0.5394216258904712
24329,0.0,1.0,23819,0.0,50935.2445988815,0.5394216258904712
24330,0.0,1.0,23820,0.0,50935.2445988815,0.5394216258904712
24331,0.0,1.0,23821,0.0,50927.90844610235,0.5394216258904712
24332,0.0,1.0,23822,0.0,50927.90844610235,0.5394216258904712
24333,0.0,1.0,23823,0.0,51060.784747846374,0.5394216258904712
24334,0.0,1.0,23824,0.0,51060.784747846374,0.5394216258904712
24335,0.0,1.0,23825,0.0,51060.784747846374,0.5394216258904712
24336,0.0,1.0,23826,0.0,51060.784747846374,0.5394216258904712
24337,0.0,1.0,23827,0.0,51060.784747846374,0.5394216258904712
