file_name,window_idx,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,label
dados_spectre.txt,1131,0.000596,0.004514,0.188008,0.299628,0.200000,0.000672,0.004541,0.187480,0.299629,0.400000,0.000636,0.004514,0.187866,0.299631,0.200000,0.000664,0.004516,0.188154,0.299627,0.200000,0.000590,0.004519,0.189090,0.299627,0.200000,1.0
dados_spectre.txt,1132,0.000672,0.004541,0.187480,0.299629,0.400000,0.000636,0.004514,0.187866,0.299631,0.200000,0.000664,0.004516,0.188154,0.299627,0.200000,0.000590,0.004519,0.189090,0.299627,0.200000,0.000666,0.004562,0.187782,0.299629,0.400000,1.0
dados_spectre.txt,1133,0.000636,0.004514,0.187866,0.299631,0.200000,0.000664,0.004516,0.188154,0.299627,0.200000,0.000590,0.004519,0.189090,0.299627,0.200000,0.000666,0.004562,0.187782,0.299629,0.400000,0.000679,0.004506,0.187837,0.299629,0.200000,1.0
dados_spectre.txt,1134,0.000664,0.004516,0.188154,0.299627,0.200000,0.000590,0.004519,0.189090,0.299627,0.200000,0.000666,0.004562,0.187782,0.299629,0.400000,0.000679,0.004506,0.187837,0.299629,0.200000,0.000695,0.004500,0.187802,0.299627,0.200000,1.0
dados_spectre.txt,1135,0.000590,0.004519,0.189090,0.299627,0.200000,0.000666,0.004562,0.187782,0.299629,0.400000,0.000679,0.004506,0.187837,0.299629,0.200000,0.000695,0.004500,0.187802,0.299627,0.200000,0.000620,0.004515,0.189175,0.299628,0.200000,1.0
dados_spectre.txt,1136,0.000666,0.004562,0.187782,0.299629,0.400000,0.000679,0.004506,0.187837,0.299629,0.200000,0.000695,0.004500,0.187802,0.299627,0.200000,0.000620,0.004515,0.189175,0.299628,0.200000,0.000647,0.004566,0.187889,0.299629,0.400000,1.0
dados_spectre.txt,1137,0.000679,0.004506,0.187837,0.299629,0.200000,0.000695,0.004500,0.187802,0.299627,0.200000,0.000620,0.004515,0.189175,0.299628,0.200000,0.000647,0.004566,0.187889,0.299629,0.400000,0.000608,0.004519,0.188414,0.299628,0.200000,1.0
dados_spectre.txt,1138,0.000695,0.004500,0.187802,0.299627,0.200000,0.000620,0.004515,0.189175,0.299628,0.200000,0.000647,0.004566,0.187889,0.299629,0.400000,0.000608,0.004519,0.188414,0.299628,0.200000,0.000611,0.004512,0.188760,0.299627,0.200000,1.0
dados_spectre.txt,1139,0.000620,0.004515,0.189175,0.299628,0.200000,0.000647,0.004566,0.187889,0.299629,0.400000,0.000608,0.004519,0.188414,0.299628,0.200000,0.000611,0.004512,0.188760,0.299627,0.200000,0.000651,0.004498,0.188589,0.299629,0.200000,1.0
dados_spectre.txt,1140,0.000647,0.004566,0.187889,0.299629,0.400000,0.000608,0.004519,0.188414,0.299628,0.200000,0.000611,0.004512,0.188760,0.299627,0.200000,0.000651,0.004498,0.188589,0.299629,0.200000,0.000632,0.004566,0.188045,0.299630,0.400000,1.0
dados_spectre.txt,1141,0.000608,0.004519,0.188414,0.299628,0.200000,0.000611,0.004512,0.188760,0.299627,0.200000,0.000651,0.004498,0.188589,0.299629,0.200000,0.000632,0.004566,0.188045,0.299630,0.400000,0.000598,0.004519,0.188959,0.299626,0.200000,1.0
dados_spectre.txt,1142,0.000611,0.004512,0.188760,0.299627,0.200000,0.000651,0.004498,0.188589,0.299629,0.200000,0.000632,0.004566,0.188045,0.299630,0.400000,0.000598,0.004519,0.188959,0.299626,0.200000,0.000622,0.004516,0.189337,0.299626,0.200000,1.0
dados_spectre.txt,1143,0.000651,0.004498,0.188589,0.299629,0.200000,0.000632,0.004566,0.188045,0.299630,0.400000,0.000598,0.004519,0.188959,0.299626,0.200000,0.000622,0.004516,0.189337,0.299626,0.200000,0.000635,0.004518,0.188445,0.299630,0.200000,1.0
dados_spectre.txt,1144,0.000632,0.004566,0.188045,0.299630,0.400000,0.000598,0.004519,0.188959,0.299626,0.200000,0.000622,0.004516,0.189337,0.299626,0.200000,0.000635,0.004518,0.188445,0.299630,0.200000,0.000701,0.004550,0.187434,0.299631,0.400000,1.0
dados_spectre.txt,1145,0.000598,0.004519,0.188959,0.299626,0.200000,0.000622,0.004516,0.189337,0.299626,0.200000,0.000635,0.004518,0.188445,0.299630,0.200000,0.000701,0.004550,0.187434,0.299631,0.400000,0.000635,0.004514,0.188889,0.299626,0.200000,1.0
dados_spectre.txt,1146,0.000622,0.004516,0.189337,0.299626,0.200000,0.000635,0.004518,0.188445,0.299630,0.200000,0.000701,0.004550,0.187434,0.299631,0.400000,0.000635,0.004514,0.188889,0.299626,0.200000,0.000665,0.004509,0.188205,0.299626,0.200000,1.0
dados_spectre.txt,1147,0.000635,0.004518,0.188445,0.299630,0.200000,0.000701,0.004550,0.187434,0.299631,0.400000,0.000635,0.004514,0.188889,0.299626,0.200000,0.000665,0.004509,0.188205,0.299626,0.200000,0.000652,0.004511,0.187276,0.299629,0.200000,1.0
dados_spectre.txt,1148,0.000701,0.004550,0.187434,0.299631,0.400000,0.000635,0.004514,0.188889,0.299626,0.200000,0.000665,0.004509,0.188205,0.299626,0.200000,0.000652,0.004511,0.187276,0.299629,0.200000,0.000620,0.004560,0.188039,0.299630,0.400000,1.0
dados_spectre.txt,1149,0.000635,0.004514,0.188889,0.299626,0.200000,0.000665,0.004509,0.188205,0.299626,0.200000,0.000652,0.004511,0.187276,0.299629,0.200000,0.000620,0.004560,0.188039,0.299630,0.400000,0.000646,0.004496,0.188839,0.299627,0.200000,1.0
dados_spectre.txt,1150,0.000665,0.004509,0.188205,0.299626,0.200000,0.000652,0.004511,0.187276,0.299629,0.200000,0.000620,0.004560,0.188039,0.299630,0.400000,0.000646,0.004496,0.188839,0.299627,0.200000,0.000673,0.004516,0.187782,0.299628,0.200000,1.0
dados_spectre.txt,1151,0.000652,0.004511,0.187276,0.299629,0.200000,0.000620,0.004560,0.188039,0.299630,0.400000,0.000646,0.004496,0.188839,0.299627,0.200000,0.000673,0.004516,0.187782,0.299628,0.200000,0.000612,0.004519,0.188567,0.299628,0.200000,1.0
dados_spectre.txt,1152,0.000620,0.004560,0.188039,0.299630,0.400000,0.000646,0.004496,0.188839,0.299627,0.200000,0.000673,0.004516,0.187782,0.299628,0.200000,0.000612,0.004519,0.188567,0.299628,0.200000,0.000618,0.004565,0.188420,0.299631,0.400000,1.0
dados_spectre.txt,1153,0.000646,0.004496,0.188839,0.299627,0.200000,0.000673,0.004516,0.187782,0.299628,0.200000,0.000612,0.004519,0.188567,0.299628,0.200000,0.000618,0.004565,0.188420,0.299631,0.400000,0.000640,0.004518,0.188791,0.299627,0.200000,1.0
dados_spectre.txt,1154,0.000673,0.004516,0.187782,0.299628,0.200000,0.000612,0.004519,0.188567,0.299628,0.200000,0.000618,0.004565,0.188420,0.299631,0.400000,0.000640,0.004518,0.188791,0.299627,0.200000,0.000682,0.004499,0.187311,0.299628,0.200000,1.0
dados_spectre.txt,1155,0.000612,0.004519,0.188567,0.299628,0.200000,0.000618,0.004565,0.188420,0.299631,0.400000,0.000640,0.004518,0.188791,0.299627,0.200000,0.000682,0.004499,0.187311,0.299628,0.200000,0.000718,0.004499,0.187390,0.299627,0.200000,1.0
dados_spectre.txt,1156,0.000618,0.004565,0.188420,0.299631,0.400000,0.000640,0.004518,0.188791,0.299627,0.200000,0.000682,0.004499,0.187311,0.299628,0.200000,0.000718,0.004499,0.187390,0.299627,0.200000,0.000746,0.004535,0.184765,0.299630,0.400000,1.0
dados_spectre.txt,1157,0.000640,0.004518,0.188791,0.299627,0.200000,0.000682,0.004499,0.187311,0.299628,0.200000,0.000718,0.004499,0.187390,0.299627,0.200000,0.000746,0.004535,0.184765,0.299630,0.400000,0.000705,0.004507,0.186380,0.299628,0.200000,1.0
dados_spectre.txt,1158,0.000682,0.004499,0.187311,0.299628,0.200000,0.000718,0.004499,0.187390,0.299627,0.200000,0.000746,0.004535,0.184765,0.299630,0.400000,0.000705,0.004507,0.186380,0.299628,0.200000,0.000710,0.004498,0.186591,0.299630,0.200000,1.0
dados_spectre.txt,1159,0.000718,0.004499,0.187390,0.299627,0.200000,0.000746,0.004535,0.184765,0.299630,0.400000,0.000705,0.004507,0.186380,0.299628,0.200000,0.000710,0.004498,0.186591,0.299630,0.200000,0.000720,0.004495,0.187113,0.299627,0.200000,1.0
