TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:09:35:028,120001024,49857038,2391272,116,0
21:09:35:228,120001329,49577327,2406678,117,0
21:09:35:428,120000491,49864641,2383489,107,0
21:09:35:628,120001109,49745422,2416082,111,0
21:09:35:828,120001316,49990891,2388303,110,0
21:09:36:028,120000889,49523221,2400239,105,0
21:09:36:228,120000904,49724642,2393951,115,0
21:09:36:428,120001113,49719639,2386601,106,0
21:09:36:628,120001188,49596965,2408736,108,0
21:09:36:828,120000667,49813613,2384091,116,0
21:09:37:028,120001279,49678806,2402128,114,0
21:09:37:228,120000815,49685334,2395423,111,0
21:09:37:428,120001148,49895225,2400321,119,0
21:09:37:628,120000799,49898262,2402507,117,0
21:09:37:828,120001023,49670246,2392350,110,0
21:09:38:028,120000793,49763058,2406433,110,0
21:09:38:228,120001345,49848344,2393614,113,0
21:09:38:428,120001283,49559984,2404615,105,0
21:09:38:628,120000879,49854980,2382395,108,0
21:09:38:828,120001139,49619890,2400348,123,0
21:09:39:028,120000871,49652838,2394499,111,0
21:09:39:228,120000989,49769078,2383097,115,0
21:09:39:428,120000910,49634164,2412918,116,0
21:09:39:628,120000853,49782486,2383619,112,0
21:09:39:828,120001254,49694355,2400547,111,0
21:09:40:028,120000730,49490140,2394367,118,0
21:09:40:228,120001041,49947353,2385348,122,0
21:09:40:428,120001382,49538213,2402112,120,0
21:09:40:628,120000648,49670857,2391447,107,0
21:09:40:828,120000997,49817723,2394147,113,0
21:09:41:028,120000775,49688097,2405263,113,0
21:09:41:228,120001198,49967925,2398158,117,0
21:09:41:428,120000701,49648691,2402222,115,0
21:09:41:628,120001257,49907172,2391116,116,0
21:09:41:828,120000548,49622424,2408573,109,0
21:09:42:028,120000858,49874555,2383335,113,0
21:09:42:228,120001240,49651970,2409760,106,0
21:09:42:828,120000447,265134573,403,170,0
21:09:42:828,120000447,265134573,403,170,0
21:09:43:028,120001126,58263882,2293600,136,0
21:09:43:228,120001157,49560803,2404516,114,0
21:09:43:428,120000821,49937028,2386694,115,0
21:09:43:628,120001453,49558193,2399796,115,0
21:09:43:828,120000543,49815129,2398278,118,0
21:09:44:028,120001394,49670309,2387606,108,0
21:09:44:228,120000883,49755146,2410629,107,0
21:09:44:428,120001540,49850341,2387903,111,0
21:09:44:628,120000732,49650572,2411233,110,0
21:09:44:828,120000828,49912761,2383764,119,0
21:09:45:028,120001015,49586552,2406451,109,0
21:09:45:228,120000577,49686211,2390185,111,0
21:09:45:428,120001059,49874973,2404889,113,0
21:09:45:628,120000636,49612404,2394827,109,0
21:09:45:828,120001507,49827629,2385481,120,0
21:09:46:028,120001374,49600871,2408948,110,0
21:09:46:228,120000874,49793267,2386330,105,0
21:09:46:428,120001059,49678067,2397809,115,0
21:09:46:628,120000983,49570427,2397769,115,0
21:09:46:828,120001231,49975301,2394613,116,0
21:09:47:028,120001131,49536406,2401465,105,0
21:09:47:228,120000664,49692035,2384193,121,0
21:09:47:428,120000983,49731566,2393326,108,0
21:09:47:628,120000590,49618911,2402594,106,0
21:09:47:828,120001076,49943281,2390802,109,0
21:09:48:028,120000823,49664589,2410076,116,0
21:09:48:228,120001143,49971644,2392150,113,0
21:09:48:428,120000470,49607587,2408318,112,0
21:09:48:628,120000896,49992135,2390517,109,0
21:09:48:828,120001181,49579316,2406801,111,0
21:09:49:028,120001224,50040492,2394027,117,0
21:09:49:228,120001246,49555621,2403835,105,0
21:09:49:428,120000809,49677016,2386346,111,0
21:09:49:628,120001140,49781933,2395601,117,0
21:09:49:828,120000633,49670662,2402906,107,0
21:09:50:028,120001210,49848796,2386720,107,0
21:09:50:228,120001090,49600349,2409057,107,0
21:09:50:428,120000589,49905128,2387158,121,0
21:09:50:628,120001140,49680336,2410079,110,0
21:09:50:828,120000472,49900994,2390679,113,0
21:09:51:028,120001212,49781533,2416013,110,0
21:09:51:228,120000460,49875802,2384029,120,0
21:09:51:428,120000898,49648183,2406062,109,0
21:09:51:628,120000948,49756602,2392751,112,0
21:09:51:828,120001387,49736725,2393237,113,0
21:09:52:028,120000620,49572467,2403567,109,0
21:09:52:228,120000775,49685586,2380163,115,0
21:09:52:428,120001285,49794778,2406444,104,0
21:09:52:628,120000602,49750201,2393990,132,0
21:09:52:828,120001001,49755750,2394307,112,0
21:09:53:028,120001117,49520710,2399952,107,0
21:09:53:228,120000800,49897602,2384897,114,0
21:09:53:428,120001394,49690299,2412477,123,0
21:09:53:628,120000746,49660752,2385530,106,0
21:09:53:828,120001615,49773861,2393596,114,0
21:09:54:028,120000864,49599982,2403649,112,0
21:09:54:228,120000772,49894365,2383177,111,0
21:09:54:428,120001324,49636177,2411937,110,0
21:09:54:628,120000746,49910439,2387877,116,0
21:09:54:828,120001323,49680002,2409850,114,0
21:09:55:028,120000920,50031373,2392869,107,0
21:09:55:228,120001139,49599730,2408949,118,0
21:09:55:428,120000728,49816582,2388768,117,0
21:09:55:628,120001217,49659584,2395776,118,0
21:09:55:828,120000731,49536504,2399509,121,0
21:09:56:028,120001342,50014373,2392864,115,0
21:09:56:228,120001385,49551893,2402982,104,0
21:09:56:428,120000922,49841735,2386418,114,0
21:09:56:628,120001087,49646331,2398766,111,0
21:09:56:828,120000770,49833256,2399362,118,0
21:09:57:028,120001151,49745305,2396326,109,0
21:09:57:228,120000758,49681923,2402521,112,0
21:09:57:428,120001252,49806186,2383505,109,0
21:09:57:628,120001507,49572976,2405863,111,0
21:09:58:228,120000454,265142155,401,152,0
21:09:58:228,120000454,265142155,401,152,0
21:09:58:428,120000788,98811360,1838808,137,0
21:09:58:628,120000638,49535798,2392694,110,0
21:09:58:828,120000682,49670795,2402998,113,0
21:09:59:028,120001130,49874036,2388761,115,0
